crop,ds,y
Tomato,2026-02-27,29.23
Tomato,2026-02-28,30.54
Tomato,2026-03-01,28.13
Tomato,2026-03-02,32.1
Tomato,2026-03-03,44.51
Tomato,2026-03-04,34.57
Tomato,2026-03-05,31.55
Tomato,2026-03-06,32.04
Tomato,2026-03-07,46.79
Tomato,2026-03-08,30.52
Tomato,2026-03-09,29.57
Tomato,2026-03-10,29.6
Tomato,2026-03-11,29.52
Tomato,2026-03-12,29.1
Tomato,2026-03-13,32.42
Tomato,2026-03-14,27.86
Tomato,2026-03-15,19.86
Tomato,2026-03-16,20.58
Tomato,2026-03-17,41.87
Tomato,2026-03-18,27.53
Tomato,2026-03-19,42.85
Tomato,2026-03-20,30.13
Tomato,2026-03-21,27.76
Tomato,2026-03-22,25.98
Tomato,2026-03-23,28.76
Tomato,2026-03-24,26.43
Tomato,2026-03-25,29.42
Tomato,2026-03-26,29.02
Tomato,2026-03-27,29.65
Tomato,2026-03-28,27.98
Tomato,2026-03-29,30.85
Tomato,2026-03-30,30.38
Tomato,2026-03-31,31.55
Tomato,2026-04-01,31.85
Tomato,2026-04-02,51.66
Tomato,2026-04-03,29.48
Tomato,2026-04-04,21.67
Tomato,2026-04-05,33.61
Tomato,2026-04-06,30.55
Tomato,2026-04-07,31.37
Tomato,2026-04-08,23.22
Tomato,2026-04-09,30.95
Tomato,2026-04-10,32.84
Tomato,2026-04-11,28.65
Tomato,2026-04-12,28.7
Tomato,2026-04-13,28.85
Tomato,2026-04-14,27.48
Tomato,2026-04-15,28.75
Tomato,2026-04-16,44.86
Tomato,2026-04-17,26.59
Tomato,2026-04-18,29.29
Tomato,2026-04-19,23.92
Tomato,2026-04-20,27.27
Tomato,2026-04-21,29.21
Tomato,2026-04-22,27.41
Tomato,2026-04-23,28.15
Tomato,2026-04-24,29.54
Tomato,2026-04-25,28.42
Tomato,2026-04-26,29.79
Tomato,2026-04-27,31.37
Tomato,2026-04-28,31.81
Tomato,2026-04-29,32.5
Tomato,2026-04-30,29.09
Tomato,2026-05-01,31.3
Tomato,2026-05-02,29.82
Tomato,2026-05-03,33.77
Tomato,2026-05-04,44.54
Tomato,2026-05-05,33.03
Tomato,2026-05-06,33.57
Tomato,2026-05-07,32.65
Tomato,2026-05-08,44.04
Tomato,2026-05-09,31.99
Tomato,2026-05-10,29.4
Tomato,2026-05-11,28.64
Tomato,2026-05-12,31.59
Tomato,2026-05-13,42.01
Tomato,2026-05-14,30.92
Tomato,2026-05-15,37.5
Tomato,2026-05-16,27.43
Tomato,2026-05-17,25.8
Tomato,2026-05-18,26.88
Tomato,2026-05-19,27.82
Tomato,2026-05-20,26.23
Tomato,2026-05-21,27.87
Tomato,2026-05-22,41.07
Tomato,2026-05-23,27.99
Tomato,2026-05-24,28.72
Tomato,2026-05-25,29.58
Tomato,2026-05-26,29.83
Tomato,2026-05-27,30.68
Tomato,2026-05-28,28.33
Tomato,2026-05-29,30.04
Tomato,2026-05-30,31.78
Tomato,2026-05-31,31.8
Tomato,2026-06-01,29.09
Tomato,2026-06-02,30.97
Tomato,2026-06-03,34.23
Tomato,2026-06-04,25.04
Tomato,2026-06-05,31.65
Tomato,2026-06-06,33.54
Tomato,2026-06-07,30.03
Tomato,2026-06-08,29.15
Tomato,2026-06-09,30.21
Tomato,2026-06-10,31.19
Tomato,2026-06-11,31.22
Tomato,2026-06-12,28.55
Tomato,2026-06-13,29.38
Tomato,2026-06-14,26.76
Tomato,2026-06-15,40.78
Tomato,2026-06-16,26.74
Tomato,2026-06-17,27.68
Tomato,2026-06-18,30.08
Tomato,2026-06-19,27.44
Tomato,2026-06-20,26.08
Tomato,2026-06-21,26.02
Tomato,2026-06-22,29.6
Tomato,2026-06-23,30.41
Tomato,2026-06-24,30.37
Tomato,2026-06-25,21.46
Tomato,2026-06-26,27.09
Tomato,2026-06-27,31.86
Tomato,2026-06-28,30.54
Tomato,2026-06-29,30.6
Tomato,2026-06-30,32.74
Tomato,2026-07-01,33.2
Tomato,2026-07-02,31.3
Tomato,2026-07-03,32.74
Tomato,2026-07-04,32.19
Tomato,2026-07-05,30.99
Tomato,2026-07-06,33.05
Tomato,2026-07-07,29.96
Tomato,2026-07-08,30.98
Tomato,2026-07-09,30.64
Tomato,2026-07-10,28.52
Tomato,2026-07-11,29.77
Tomato,2026-07-12,29.46
Tomato,2026-07-13,27.6
Tomato,2026-07-14,27.16
Tomato,2026-07-15,27.71
Tomato,2026-07-16,26.68
Tomato,2026-07-17,28.61
Tomato,2026-07-18,25.59
Tomato,2026-07-19,25.53
Tomato,2026-07-20,28.29
Tomato,2026-07-21,28.29
Tomato,2026-07-22,29.27
Tomato,2026-07-23,28.22
Tomato,2026-07-24,27.21
Tomato,2026-07-25,44.62
Tomato,2026-07-26,27.9
Tomato,2026-07-27,29.95
Tomato,2026-07-28,29.87
Tomato,2026-07-29,30.73
Tomato,2026-07-30,30.15
Tomato,2026-07-31,33.33
Tomato,2026-08-01,33.23
Tomato,2026-08-02,30.79
Tomato,2026-08-03,33.83
Tomato,2026-08-04,33.96
Tomato,2026-08-05,30.41
Tomato,2026-08-06,32.16
Tomato,2026-08-07,31.31
Tomato,2026-08-08,41.86
Tomato,2026-08-09,41.85
Tomato,2026-08-10,32.42
Tomato,2026-08-11,31.43
Tomato,2026-08-12,38.65
Tomato,2026-08-13,31.29
Tomato,2026-08-14,28.58
Tomato,2026-08-15,26.92
Tomato,2026-08-16,43.88
Tomato,2026-08-17,29.58
Tomato,2026-08-18,29.04
Tomato,2026-08-19,28.72
Tomato,2026-08-20,28.95
Tomato,2026-08-21,28.14
Tomato,2026-08-22,29.49
Tomato,2026-08-23,40.33
Tomato,2026-08-24,30.34
Tomato,2026-08-25,32.07
Potato,2026-02-27,21.97
Potato,2026-02-28,18.48
Potato,2026-03-01,20.12
Potato,2026-03-02,33.89
Potato,2026-03-03,19.65
Potato,2026-03-04,20.99
Potato,2026-03-05,24.49
Potato,2026-03-06,19.62
Potato,2026-03-07,21.04
Potato,2026-03-08,22.15
Potato,2026-03-09,23.35
Potato,2026-03-10,19.98
Potato,2026-03-11,22.61
Potato,2026-03-12,22.48
Potato,2026-03-13,18.34
Potato,2026-03-14,17.26
Potato,2026-03-15,17.0
Potato,2026-03-16,19.73
Potato,2026-03-17,16.98
Potato,2026-03-18,18.1
Potato,2026-03-19,13.25
Potato,2026-03-20,19.13
Potato,2026-03-21,19.73
Potato,2026-03-22,16.65
Potato,2026-03-23,28.07
Potato,2026-03-24,21.07
Potato,2026-03-25,36.35
Potato,2026-03-26,7.73
Potato,2026-03-27,19.02
Potato,2026-03-28,18.09
Potato,2026-03-29,21.59
Potato,2026-03-30,21.02
Potato,2026-03-31,22.1
Potato,2026-04-01,19.31
Potato,2026-04-02,21.7
Potato,2026-04-03,20.09
Potato,2026-04-04,23.21
Potato,2026-04-05,21.22
Potato,2026-04-06,23.73
Potato,2026-04-07,20.37
Potato,2026-04-08,22.48
Potato,2026-04-09,21.0
Potato,2026-04-10,21.92
Potato,2026-04-11,21.03
Potato,2026-04-12,21.13
Potato,2026-04-13,18.99
Potato,2026-04-14,18.69
Potato,2026-04-15,19.06
Potato,2026-04-16,19.91
Potato,2026-04-17,19.24
Potato,2026-04-18,30.76
Potato,2026-04-19,15.46
Potato,2026-04-20,20.36
Potato,2026-04-21,20.71
Potato,2026-04-22,18.44
Potato,2026-04-23,19.8
Potato,2026-04-24,17.26
Potato,2026-04-25,17.63
Potato,2026-04-26,19.11
Potato,2026-04-27,18.25
Potato,2026-04-28,22.29
Potato,2026-04-29,22.61
Potato,2026-04-30,18.98
Potato,2026-05-01,23.18
Potato,2026-05-02,18.76
Potato,2026-05-03,19.06
Potato,2026-05-04,20.56
Potato,2026-05-05,24.0
Potato,2026-05-06,21.18
Potato,2026-05-07,24.6
Potato,2026-05-08,14.16
Potato,2026-05-09,21.93
Potato,2026-05-10,22.08
Potato,2026-05-11,22.49
Potato,2026-05-12,20.72
Potato,2026-05-13,36.64
Potato,2026-05-14,17.5
Potato,2026-05-15,16.83
Potato,2026-05-16,16.32
Potato,2026-05-17,13.2
Potato,2026-05-18,16.35
Potato,2026-05-19,17.16
Potato,2026-05-20,17.65
Potato,2026-05-21,17.01
Potato,2026-05-22,10.85
Potato,2026-05-23,16.56
Potato,2026-05-24,16.64
Potato,2026-05-25,20.46
Potato,2026-05-26,31.3
Potato,2026-05-27,20.48
Potato,2026-05-28,19.12
Potato,2026-05-29,18.3
Potato,2026-05-30,18.84
Potato,2026-05-31,20.52
Potato,2026-06-01,22.64
Potato,2026-06-02,20.08
Potato,2026-06-03,21.75
Potato,2026-06-04,21.98
Potato,2026-06-05,21.55
Potato,2026-06-06,22.76
Potato,2026-06-07,39.77
Potato,2026-06-08,19.87
Potato,2026-06-09,21.01
Potato,2026-06-10,18.93
Potato,2026-06-11,19.25
Potato,2026-06-12,13.43
Potato,2026-06-13,20.62
Potato,2026-06-14,21.02
Potato,2026-06-15,20.12
Potato,2026-06-16,27.47
Potato,2026-06-17,19.79
Potato,2026-06-18,17.56
Potato,2026-06-19,16.14
Potato,2026-06-20,17.37
Potato,2026-06-21,15.3
Potato,2026-06-22,19.94
Potato,2026-06-23,16.42
Potato,2026-06-24,20.9
Potato,2026-06-25,17.97
Potato,2026-06-26,17.74
Potato,2026-06-27,20.29
Potato,2026-06-28,21.86
Potato,2026-06-29,20.39
Potato,2026-06-30,21.17
Potato,2026-07-01,40.46
Potato,2026-07-02,21.63
Potato,2026-07-03,22.73
Potato,2026-07-04,21.15
Potato,2026-07-05,19.34
Potato,2026-07-06,19.95
Potato,2026-07-07,22.22
Potato,2026-07-08,22.75
Potato,2026-07-09,23.19
Potato,2026-07-10,19.84
Potato,2026-07-11,20.14
Potato,2026-07-12,31.76
Potato,2026-07-13,17.9
Potato,2026-07-14,17.27
Potato,2026-07-15,15.02
Potato,2026-07-16,20.27
Potato,2026-07-17,16.18
Potato,2026-07-18,33.75
Potato,2026-07-19,16.06
Potato,2026-07-20,20.23
Potato,2026-07-21,16.47
Potato,2026-07-22,19.37
Potato,2026-07-23,16.8
Potato,2026-07-24,18.25
Potato,2026-07-25,20.47
Potato,2026-07-26,19.06
Potato,2026-07-27,21.91
Potato,2026-07-28,21.39
Potato,2026-07-29,21.55
Potato,2026-07-30,23.46
Potato,2026-07-31,19.53
Potato,2026-08-01,19.9
Potato,2026-08-02,23.13
Potato,2026-08-03,20.13
Potato,2026-08-04,20.03
Potato,2026-08-05,22.45
Potato,2026-08-06,20.16
Potato,2026-08-07,20.95
Potato,2026-08-08,23.17
Potato,2026-08-09,20.46
Potato,2026-08-10,18.49
Potato,2026-08-11,20.0
Potato,2026-08-12,36.41
Potato,2026-08-13,29.7
Potato,2026-08-14,20.6
Potato,2026-08-15,20.18
Potato,2026-08-16,15.6
Potato,2026-08-17,15.99
Potato,2026-08-18,20.03
Potato,2026-08-19,17.98
Potato,2026-08-20,19.63
Potato,2026-08-21,19.71
Potato,2026-08-22,17.16
Potato,2026-08-23,18.6
Potato,2026-08-24,18.63
Potato,2026-08-25,10.64
Onion,2026-02-27,26.34
Onion,2026-02-28,23.8
Onion,2026-03-01,27.0
Onion,2026-03-02,27.57
Onion,2026-03-03,28.35
Onion,2026-03-04,27.49
Onion,2026-03-05,24.64
Onion,2026-03-06,27.64
